index,sepal_length,sepal_width,petal_length,petal_width,species,sum,full name
0,5.1,3.5,1.4,0.2,setosa,10.2,1.4 setosa
1,4.9,3,1.4,0.2,setosa,9.5,1.4 setosa
2,4.7,4.7,4.7,4.7,setosa,18.8,4.7 setosa
3,4.6,3.1,1.5,0.2,setosa,9.4,1.5 setosa
4,5,3.6,1.4,0.2,setosa,10.20,1.4 setosa
5,5.4,3.9,1.7,0.4,setosa,11.4,1.7 setosa
6,4.6,3.4,1.4,0.3,setosa,9.7,1.4 setosa
7,5,3.4,1.5,0.2,setosa,10.1,1.5 setosa
8,4.4,2.9,1.4,0.2,setosa,8.9,1.4 setosa
9,4.9,3.1,1.5,0.1,setosa,9.6,1.5 setosa
10,5.4,3.7,1.5,0.2,setosa,10.8,1.5 setosa
11,4.8,3.4,1.6,0.2,setosa,10,1.6 setosa
12,4.8,3,1.4,0.1,setosa,21.3,1.4 setosa
13,4.3,3,1.1,0.1,setosa,8.5,1.1 setosa
14,5.8,4,1.2,0.2,setosa,11.2,1.2 setosa
15,5.7,4.4,1.5,0.4,setosa,27,1.5 setosa
16,5.4,3.9,1.3,0.4,setosa,11,1.3 setosa
17,5.1,3.5,1.4,0.3,setosa,10.3,1.4 setosa
18,5.7,3.8,1.7,0.3,setosa,29.5,1.7 setosa
19,5.1,3.8,1.5,0.3,setosa,10.7,1.5 setosa
20,5.4,3.4,1.7,0.2,setosa,10.7,1.7 setosa
21,5.1,3.7,1.5,0.4,setosa,31.7,1.5 setosa
22,4.6,3.6,1,0.2,setosa,9.4,1 setosa
23,5.1,3.3,1.7,0.5,setosa,10.6,1.7 setosa
24,4.8,3.4,1.9,0.2,setosa,34.3,1.9 setosa
25,5,3,1.6,0.2,setosa,,1.6 setosa
26,5,3.4,1.6,0.4,setosa,,1.6 setosa
27,5.2,3.5,1.5,0.2,setosa,,1.5 setosa
28,5.2,3.4,1.4,0.2,setosa,,1.4 setosa
29,4.7,3.2,1.6,0.2,setosa,,1.6 setosa
30,4.8,3.1,1.6,0.2,setosa,,1.6 setosa
31,5.4,3.4,1.5,0.4,setosa,,1.5 setosa
32,5.2,4.1,1.5,0.1,setosa,,1.5 setosa
33,5.5,4.2,1.4,0.2,setosa,,1.4 setosa
34,4.9,3.1,1.5,0.2,setosa,,1.5 setosa
35,5,3.2,1.2,0.2,setosa,,1.2 setosa
36,5.5,3.5,1.3,0.2,setosa,,1.3 setosa
37,4.9,3.6,1.4,0.1,setosa,,1.4 setosa
38,4.4,3,1.3,0.2,setosa,,1.3 setosa
39,5.1,3.4,1.5,0.2,setosa,,1.5 setosa
40,5,3.5,1.3,0.3,setosa,,1.3 setosa
41,4.5,2.3,1.3,0.3,setosa,,1.3 setosa
42,4.4,3.2,1.3,0.2,setosa,,1.3 setosa
43,5,3.5,1.6,0.6,setosa,,1.6 setosa
44,5.1,3.8,1.9,0.4,setosa,,1.9 setosa
45,4.8,3,1.4,0.3,setosa,,1.4 setosa
46,5.1,3.8,1.6,0.2,setosa,,1.6 setosa
47,4.6,3.2,1.4,0.2,setosa,,1.4 setosa
48,5.3,3.7,1.5,0.2,setosa,,1.5 setosa
49,5,3.3,1.4,0.2,setosa,,1.4 setosa
50,7,3.2,4.7,1.4,versicolor,,4.7 versicolor
51,6.4,3.2,4.5,1.5,versicolor,,4.5 versicolor
52,6.9,3.1,4.9,1.5,versicolor,,4.9 versicolor
53,5.5,2.3,4,1.3,versicolor,,4 versicolor
54,6.5,2.8,4.6,1.5,versicolor,,4.6 versicolor
55,5.7,2.8,4.5,1.3,versicolor,,4.5 versicolor
56,6.3,3.3,4.7,1.6,versicolor,,4.7 versicolor
57,4.9,2.4,3.3,1,versicolor,,3.3 versicolor
